"Experiment_ID","IL_name","IL_head_name","IL_SMILES","Experiment_value"
"AA_2008","26_O12","26","CC(CO)(CO)N(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","28_O12","28","OCCCCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","31_O12","31","OCCOCCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","32_O12","32","OCCCCCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","33_O12","33","OCC(C)(C)CN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","34_O12","34","OCC(CO)(CC)N(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","36_O12","36","OCCCCCCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","38_O12","38","C1CC(O)CCC1N(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","60_O12","60","CN(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)C",-0.366886147
"AA_2008","61_O12","61","CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)CC",-0.366886147
"AA_2008","62_O12","62","CC(C)N(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)C(C)C",-0.366886147
"AA_2008","63_O12","63","CN(CCC(=O)OCCCCCCCCCCCC)CCCN(CCC(=O)OCCCCCCCCCCCC)C",-0.366886147
"AA_2008","64_O12","64","CCN(CCC(=O)OCCCCCCCCCCCC)CCCN(CCC(=O)OCCCCCCCCCCCC)CC",-0.366886147
"AA_2008","70_O12","70","C1N(CCC(=O)OCCCCCCCCCCCC)CCCN(CCC(=O)OCCCCCCCCCCCC)C1",-0.366886147
"AA_2008","75_O12","75","CCN(CC)CCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","76_O12","76","C1CCCN1CCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","77_O12","77","N1(C)CCCC1CCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","79_O12","79","CN(C)CC(C)N(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","80_O12","80","CN(C)CCCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","82_O12","82","C1CCCCN1CCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","86_O12","86","OCCN(CCO)CCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","87_O12","87","OCCN(CCO)CCCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","96_O12","96","CN(CCC(=O)OCCCCCCCCCCCC)CCCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","98_O12","98","N(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","99_O12","99","N(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","100_O12","100","N(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)CCCN(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)",-0.366886147
"AA_2008","103_O12","103","OCCN(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)CCO",-0.366886147
"AA_2008","109_O12","109","N(CCC(=O)OCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCC)CCO",-0.366886147
"AA_2008","1_O13","1","COCCCN(CCC(=O)OCCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCCC)",-0.366886147
"AA_2008","6_O13","6","O1CCOC1CCN(CCC(=O)OCCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCCC)",-0.366886147
"AA_2008","7_O13","7","C1OC(C)(C)OC1CN(CCC(=O)OCCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCCC)",-0.366886147
"AA_2008","10_O13","10","COCCN(CCC(=O)OCCCCCCCCCCCCC)(CCC(=O)OCCCCCCCCCCCCC)",-0.366886147
